,breadcrumb,id,itemType,ldap,menuGroupId,menuId,menuItemId
2014-10-30 17:10:03,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [New] Deal Review Reporting,2232727,duplos,goodson,1557,32,7675
2014-10-30 17:20:49,BPC - The Owl > Home,2232854,editable_area,ceccarelli,225,32,0
2014-10-30 17:20:55,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,2232857,dasnav_report,ceccarelli,1558,32,7270
2014-10-30 17:21:00,BPC - The Owl > RMC Internal Insights > Owl Feature Intake,2232861,duplos,ceccarelli,1558,32,7756
2014-10-30 17:31:48,BPC - The Owl > RMC Internal Insights > gCases Queries > Summary By Requestor,2232975,abi_report,jvarciag,1558,32,7130
2014-10-30 17:32:35,BPC - The Owl > RMC Internal Insights > gCases Queries > Summary By HotKey,2232983,abi_report,jvarciag,1558,32,7131
2014-10-30 17:38:13,BPC - The Owl > Home,2233067,editable_area,ceccarelli,225,32,0
2014-10-30 17:38:17,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,2233070,dasnav_report,ceccarelli,1558,32,7270
2014-10-30 17:38:24,BPC - The Owl > RMC Internal Insights > RMC Feature Intake > DRT Feature Intake,2233072,duplos,ceccarelli,1558,32,8389
2014-10-30 17:45:52,BPC - The Owl > RMC Internal Insights > RMC Feature Intake > DRT Feature Intake,2233154,duplos,ceccarelli,1558,32,8389
2014-10-30 17:46:02,BPC - The Owl > RMC Internal Insights > RMC Feature Intake > DRT Feature Intake,2233155,duplos,ceccarelli,1558,32,8389
2014-10-30 18:14:19,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,2233452,abi_report,jvarciag,1558,32,7133
2014-10-30 18:14:46,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Answers/Usage,2233458,abi_report,jvarciag,1558,32,7134
2014-10-30 18:15:17,BPC - The Owl > RMC Internal Insights > RMC Feature Intake > DRT Feature Intake,2233465,duplos,chriskay,1558,32,8389
2014-10-30 18:27:19,BPC - The Owl > Home,2233559,editable_area,ceccarelli,225,32,0
2014-10-30 18:28:24,BPC - The Owl > Home,2233572,editable_area,ceccarelli,225,32,0
2014-10-30 18:28:38,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,2233575,dasnav_report,ceccarelli,1558,32,7270
2014-10-30 18:28:50,BPC - The Owl > RMC Internal Insights > RMC Feature Intake > Owl Feature Intake,2233577,duplos,ceccarelli,1558,32,7756
2014-10-30 18:28:52,BPC - The Owl > RMC Internal Insights > RMC Feature Intake > Owl Feature Intake,2233578,duplos,ceccarelli,1558,32,7756
2014-10-30 18:29:25,BPC - The Owl > RMC Internal Insights > RMC Feature Intake > DRT Feature Intake,2233588,duplos,ceccarelli,1558,32,8389
2014-10-30 18:30:22,BPC - The Owl > RMC Internal Insights > Owl Feature Intake,2233600,duplos,ceccarelli,1558,32,7756
2014-10-30 19:18:10,BPC - The Owl > RMC Internal Insights > RMC Feature Intake > DRT Feature Intake,2233916,duplos,mikemmurphy,1558,32,8389
2014-10-30 20:24:36,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [Beta] Distribution ,2234360,abi_report,steklova,1557,32,7113
2014-10-30 20:25:02,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [Beta] Descriptive Statistics,2234365,abi_report,steklova,1557,32,7115
2014-10-30 20:25:26,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [Beta] Descriptive Statistics,2234366,abi_report,steklova,1557,32,7115
2014-10-30 20:25:53,BPC - The Owl > Deal Insights > Metrics for Sales  > Detail Data,2234369,abi_report,steklova,1557,32,7117
2014-10-30 20:26:24,BPC - The Owl > Deal Insights > Legal Deals and Misc > Detail Data,2234374,abi_report,steklova,1557,32,7119
2014-10-30 20:27:19,BPC - The Owl > RMC Internal Insights > Users & Training > BPC Quiz Coverage,2234387,abi_report,steklova,1558,32,7121
2014-10-30 20:28:01,BPC - The Owl > RMC Internal Insights > Users & Training > Quizzes,2234395,abi_report,steklova,1558,32,7122
